	Expression1	Expression2
SMPD3	0.8816432	2.5337
UBA7	1.3637216	0.70260006
SMC5	0.11282274	3.39625
RPS6KA1	-2.1946938	-4.02005
ROR2	0.947836	2.8214002
COPS8	0.86970115	1.09445
APOOL	3.2998257	5.6066
SOS1	-0.1278155	4.04405
EIF4G1	0.95955104	0.70075
ABCC8	0.21703511	4.1442
HSPA2	0.014930949	-0.7814001
CXCL6	-1.4361687	-3.3520002
AP2B1	1.9196868	2.63525
ZSWIM8	0.6161384	1.53965
YEATS4	0.4179207	1.9261501
DAP	1.5699705	2.75965
TRAF3IP2	-0.19366792	-1.7509
SMPD1	1.9306067	3.0801
MORC2	-0.57814014	0.25465
UCHL5	-0.3486225	-0.98714995
DPEP2	1.3270249	3.96785
RYR2	1.8707492	4.078
CDC7	-0.11474253	-1.18245
PLOD2	1.3838959	3.28275
CDK2AP1	0.30679554	0.013000011
PCBP2	2.291878	0.6939
G6PD	1.0712879	-0.0873
VKORC1	0.84335494	2.0923
PLK2	-2.9139962	-2.74435
CYB5R3	2.22745	1.23515
RPL15	-0.35684898	-2.9517999
PDCD4	1.6042511	1.6622
GPR3	0.83498627	4.30475
SMARCD2	-1.223677	-2.87915
ERO1A	2.2177892	2.2479
LGALS1	-1.7872913	-1.1434
JAK2	0.32040405	1.6561
DHFR	3.1016083	3.91155
APOD	0.16399838	-1.14805
NIF3L1	-0.8712575	-4.2736
CD19	1.2528597	2.56815
VIL1	1.679991	4.72615
POLR2J	1.8362424	4.46665
APH1B	1.5268965	0.6017
BST2	0.4694615	-0.61044997
C7	1.3430314	2.74125
BIN1	-1.6238327	-3.08185
ELOVL5	0.7316568	0.0956
CD151	-1.066562	-1.5975001
ZNF263	-3.276378	-4.303
ASCL1	0.85685515	1.3036499
GPD2	-0.44995445	1.2593501
FDXR	-0.80913013	-1.04775
ELF4	-0.6505833	2.11935
BAG6	2.0050535	3.7985501
CAND1	0.9698069	2.559
ZMYND11	-0.24207163	2.41345
INPP5D	-0.001788754	0.76225
RAB9A	-0.30572844	-1.3663
CPEB3	0.37588716	2.36085
IPO5	0.9070784	-1.31645
OLFM1	-0.32422286	1.7025
SLC1A1	-0.1585862	-1.83445
NOD2	0.83129764	1.85475
VEZF1	-2.52384	-3.7800002
STK39	0.51474833	-1.59175
USP16	-0.76989824	1.01105
SRC	-3.0995398	-6.8286
KMT2B	-1.500366	0.33489996
SLC9A1	-2.1497998	-1.8362501
OAZ2	1.7090437	1.3472999
PADI2	0.5239272	1.5862
TRHDE	1.2485268	3.8193
PTGDR	0.27216762	1.425
SETD3	-1.0177518	-2.2793
BTN3A3	1.6541028	1.4798
POLR2I	1.2506814	2.82935
EYA1	0.74000776	1.3742
ACADM	2.0572553	6.26475
C1QTNF1	1.0820017	4.88845
AKAP8	0.041746438	-2.6756
CERS2	-0.6433092	1.7536001
RNF167	-0.84061587	-0.6223
DIRAS2	0.8081082	3.6922998
BRMS1	-1.2752298	-4.5131
MECR	2.0223083	1.0940499
RIF1	-3.6049745	-3.4842
PAK4	-2.3842838	-5.3048
ADORA2B	-2.2310908	-4.37
SALL2	2.3293629	4.3497
SOCS6	-3.251122	-3.59195
ACACB	0.9960761	-0.23235002
BECN1	2.8608634	4.5018997
ALAD	0.96421844	2.3794
XAF1	2.4996345	4.7053
HGD	0.19083346	1.71585
SAR1B	0.53241336	-0.69065
HRH1	0.94323564	4.23425
PGAM1	0.9934555	0.5578
CYP2E1	1.6981366	0.85599995
BCKDK	0.18113339	-0.6352
AATF	-0.49295953	-5.29115
ARHGDIA	-0.27297387	-0.96275
PRMT1	-0.30608752	-1.8313
TSC1	0.6893478	-1.14915
TMBIM6	1.109545	-0.16000001
HS1BP3	1.6383823	2.2951002
SULT2B1	0.8326013	-0.0625
TBX5	1.1756625	3.8752499
ZC3HAV1	-0.43048596	-1.69415
EDNRB	0.3615274	-0.1467
LGI1	1.6258713	2.67815
SOAT1	-0.16851087	-0.91359997
BMP6	1.1520514	2.63845
SCRIB	-0.893965	-1.5839499
YES1	-0.48930824	0.82725
TYK2	-0.03355006	-1.4118
CCDC25	3.386242	3.5771499
PLCG1	0.15435329	-2.224
JAM3	1.6364205	2.9119
GCLM	-1.3820856	-2.78405
ACAT1	1.367729	-0.095699996
COL4A6	0.13895059	2.854
RBBP4	0.3940691	-3.308
CCL23	0.7298557	1.55925
NSMCE4A	-0.73314285	-2.23905
AGRN	0.15252592	2.066
CD200	1.618953	2.9668999
MGAT3	1.9536662	3.95235
CCL8	0.94785565	3.2472498
PSMC1	1.1728945	-2.633
ANXA1	0.23883761	1.54705
IL7R	0.5425251	3.7274
FRK	0.46835825	2.7119498
HSD11B1	0.5451255	2.66205
LGALS9	1.693054	2.8809
LEPR	0.27267438	1.20725
TERF2	-1.448097	-1.3011
MEIS2	-0.26116365	3.4151
GALNT3	-0.16660774	0.10765004
SHMT1	0.78647	0.93995
PPRC1	-4.699046	-5.57515
ABCB4	0.89675504	3.1736002
NEK4	-0.24526015	-0.93149996
PCK2	3.068313	4.46305
ABCA5	0.46459904	2.1219
KCTD20	1.8455367	4.9647503
CHMP5	2.1875	4.6793003
HIBCH	2.1263487	2.1248
POLR2L	-0.1346531	0.4224
PARP4	0.4712981	-2.1005
BIK	-1.7377851	-3.4309
DNAJC3	1.1648718	1.84315
SMURF2	-2.3888223	-2.74265
ABCC1	-0.33336806	1.6614001
ADI1	2.80062	5.23275
IGFBP4	-1.5105336	-3.3233
TGFB1I1	0.48269287	-1.18015
CBX4	0.2700048	1.3886
SCAF8	-4.0348177	-7.3071
EXTL2	0.7808787	1.55575
LAMB2	1.8756007	2.25155
ATP8A2	-0.12698856	0.3254
EXOC1	1.0887694	0.94875
CD3G	0.4838883	3.8754
BARX2	-0.015707554	2.1446
BRCA1	0.911092	-2.0767999
GNLY	0.31240782	3.0394502
RBFOX2	1.8021739	3.7676501
E2F1	0.7168546	3.5047
EHMT1	0.5890739	2.08835
HOXC11	0.5965876	0.20750001
SLC25A10	1.320196	2.7684002
AK1	0.2971417	-2.03235
CTH	0.11850925	0.16735
RPL8	0.33034736	-2.0922
P2RY2	-1.5471156	-3.1171
GPC4	1.3285007	3.39295
ATM	0.011139162	0.23205002
PLSCR1	-0.50728005	-1.5198
SLC25A13	1.3540239	-0.6074
RNF4	-2.548997	-4.29115
FGFR4	-0.82160866	2.8485
RIPK2	-1.1320302	-1.59715
SH3BP1	-1.0060778	-0.36920002
ZNF318	-2.2023718	-2.63015
CGREF1	-0.28943434	-1.142
IGF2BP2	0.07917258	-6.4145
SPAG5	-1.2292491	-1.6881001
KDR	1.4980906	5.5123997
HNRNPM	-0.31175378	-2.7147
DUSP4	-7.438369	-10.0
B4GALT6	1.2980084	1.7706001
NEURL1	2.345057	6.5656996
TYRP1	0.65039814	1.0771501
TPPP3	1.2944163	2.40415
RYK	-0.85386217	0.86805
DUOX2	-0.3349912	0.9767
ANGPT1	0.65089786	0.25874996
PLA2G6	1.4763737	2.0959
HNRNPF	0.44496486	-3.1012
DDIT3	-1.4591157	-1.6288
PIDD1	2.4924226	4.73845
CCRL2	2.0172818	4.12055
PRKAA2	0.0075190067	2.39925
NGFR	0.27120715	1.18435
LHCGR	1.2940155	5.06995
ANXA7	-0.93632376	-2.8814502
NPTN	0.20507434	-1.40155
DHX9	0.55736876	0.95535
GLS2	2.186807	4.82595
DPF3	1.0241818	3.42535
ABCC3	0.8031923	-3.0279
SLC25A5	0.40680784	0.47445002
GTSE1	-3.2577295	-3.79035
SDF4	1.8131797	3.91705
LNPEP	1.4083278	3.1637502
TRAF6	-2.9782841	-0.006950021
DBT	2.2288716	3.7687502
IL33	1.385909	2.5447998
NAALADL1	1.43295	2.47035
STAP1	1.8129627	3.7947
TNNI2	0.76341355	3.0106
SECTM1	-0.18057284	0.00050002337
FAM107A	-0.9160571	0.52620006
FST	0.033621915	1.8761001
TOX3	-0.3298658	1.9959
PHB2	-0.6860782	-2.1825
PLA2G4A	0.5388779	2.5723
SIGIRR	0.62434155	-1.2047
LYPLA1	-1.8578484	2.2851999
OSTM1	2.0993564	4.7847004
SPOCK3	0.85544133	3.288
ABCC4	1.6041317	2.03955
RHEB	1.2255497	-2.6297
LPGAT1	0.86851114	0.04130006
SUB1	0.31417814	-0.09855
MAP2K1	-0.7623801	0.15775001
TNMD	2.3137336	3.071
NF1	0.39351884	0.88725
MYO16	0.8038352	4.01645
SEL1L	1.3860686	2.87145
MED4	1.0416329	-1.0714
LILRB3	1.4687977	2.9256
GRHL2	0.8653629	2.05645
IFITM3	1.5112634	3.4583502
RNASE6	2.6969345	3.73215
CPTP	-0.006903749	0.39670002
SIRT1	-1.9223356	-1.09555
RPL19	-0.37771115	-1.7750499
DCK	-1.408023	-6.24625
CAMK4	1.1281271	3.405
CRYAB	0.3000895	-0.10259999
ELMO2	-1.422102	-1.0948
TNFRSF10C	0.166272	1.84185
CHCHD2	0.6472784	1.1353
SGPP1	0.37210864	1.06675
PCSK5	0.4437833	1.2413
TAF1C	1.5243825	4.1908
PSMD12	-2.5274847	-5.8776503
ACTR3	2.4822056	5.41355
CP	1.2934957	2.32495
EIF4G2	0.51452756	-0.9276
SOX12	-0.8467238	-1.39995
FCMR	-0.16561447	1.5803001
ROR1	-0.16154054	1.04365
MERTK	1.16691	2.4364
CD1A	0.8544039	1.22435
RPL18	-0.37457675	-3.0272002
LEPROT	0.1148049	1.3269501
PHF2	-1.6833385	-2.09205
NOTCH1	0.6913167	4.82405
PTPRN	1.063733	4.7204
CASP1	1.5970607	3.68005
CCL4	-0.23344654	2.09705
PA2G4	-0.65110743	-3.8354
SIRT4	0.67431843	3.64755
C1QB	-0.31870148	1.8557
KDM6B	-0.5430044	3.3102
LDB1	3.133194	4.4032
CALR	0.31978777	0.92895
RARRES2	2.222754	6.9582005
IDH3B	-0.94589376	-2.78035
TRAF1	-0.69877064	0.425
FMO5	-0.8784226	0.13279998
KIF20B	-2.9796455	-3.89615
ST3GAL1	-1.6334187	0.12100001
ATP6V0D1	1.0153905	-0.04235
MAGI2	2.0407453	5.90105
PSMD7	3.032758	0.72565
RPLP0	0.41366118	-1.52265
PSMD4	1.0129328	-2.7013502
ENO2	-0.26346925	-0.22215
LMCD1	0.18716772	0.4932
CNPY3	3.9076557	5.64455
ADCY2	0.3551111	1.85075
ETV1	1.7744813	-1.68335
CELF1	-0.5532867	1.8324001
PPP3CA	-0.24797772	-1.7028
SP1	0.16021536	-0.04735002
RTN2	0.33808523	2.49155
TPT1	1.8268805	2.8004498
PKD2	0.78150594	3.2382998
HCN2	1.3798729	5.73105
CDKN2B	0.7166015	1.93715
BAG5	-3.395403	-7.45745
AKR1C1	0.33142403	-1.3613
TIMP3	0.97149396	3.14755
RPS3A	1.4031848	-0.18165
GAL	-0.84381074	0.17795
RAC1	0.425591	1.2153
ASS1	1.2693223	-0.97475
ITGB3BP	0.26780295	0.138
LMAN2	2.5302048	4.3915
PROS1	3.3823395	7.0743
ADCY1	0.83718634	2.94225
LGMN	2.5791547	2.40055
ATP6V0E2	0.021901757	0.0493
EPOR	2.4820342	2.1813998
BCAT1	2.1284876	2.58325
ELK4	-0.28537506	1.20305
SF3B1	1.4200543	0.47605
RPS2	-0.3297317	-1.3661001
DKK1	-1.9984118	-5.5467
PRDM4	-0.7404423	-1.3763
ICAM1	0.4256548	3.4555
SETD6	-1.2362581	2.3322499
GNPAT	0.99420506	1.6632
BHLHE40	-2.9398496	-4.8682
RPA1	1.4784256	1.27485
MTMR2	-0.4385718	-4.3907
HERPUD1	-0.84380484	-0.32450002
B4GALT2	0.89850587	1.45075
CD164	-0.40544158	-0.37599993
HSP90B1	0.49955267	-0.06665003
ARHGEF11	-0.23357461	1.0297999
HBB	0.18611635	3.17175
TLR6	-0.11613916	2.2813501
ADAMDEC1	0.4482365	3.71835
STX3	-1.2079787	-0.54195
ELAVL4	0.7986708	2.1691499
RUNDC3A	1.2823039	4.0363503
CBR4	2.5823038	4.1577
SMAD2	0.29402953	-1.74275
ERLIN1	-0.9609543	-1.3515
SPATA2	-1.67705	-0.82175
ATP6V1H	-0.18063319	1.9986
GTF2H5	0.43862814	-0.36445
CIITA	1.4828969	4.0968
ACSF2	0.46066707	-2.37395
PDPN	0.86889845	3.14015
CLDN4	-0.7582513	-1.274
AJAP1	0.64739984	4.3599997
AQP9	1.0567604	4.3917
SYMPK	-0.47394228	-1.8571
GPNMB	1.2124313	4.94455
CARD9	0.90502554	1.72125
CACNA1D	-0.7068564	-0.5442
RPL37	0.24577999	-1.5099499
SORD	-0.036745377	-2.63595
CD163	1.5126989	2.6547499
ELK3	-1.62099	-4.7671003
MR1	1.9866145	5.0022
EIF4EBP2	0.21294867	1.9958
CDKN2AIP	-3.4829993	-2.48435
HABP4	0.8032107	1.3974
PAXIP1	0.42595318	-0.57054996
GNAI1	1.7575283	1.55355
RPLP2	0.0051884726	0.68795
MID2	1.3461233	3.0949001
TPI1	0.34963208	-0.9952
CDKN2D	-0.46969616	-0.69280005
SULT1B1	1.4235008	5.9741
FLCN	0.6329955	3.1749
TBXAS1	0.20950079	0.52189994
DCTD	1.5672346	2.8953
GATA2	-2.7374804	-2.66265
C1R	0.06932166	0.74909997
TCFL5	0.80061173	5.6792
WDR45B	-0.9710954	0.0686
EP300	0.8643349	2.96225
UROS	3.027389	1.43785
RUNX1	0.25428385	-1.3820499
CERS6	1.1236459	1.4725499
PIK3CD	-0.67591834	0.77664995
PTBP1	-0.80516106	-2.01105
SP100	1.784014	2.9728003
APOL1	0.24244429	2.7697
PMM1	0.3542035	2.20245
NFATC1	0.33666217	0.7241
CASP4	1.7261955	0.74759996
NLRP3	-0.8621427	0.42635006
TIE1	1.1756953	3.8875499
ESM1	1.1040729	5.1633
CAPN1	0.1590654	2.2141
TIMELESS	1.6197779	1.52705
ATAD3A	-0.4380834	-0.48995
PPP2R5E	-3.5078213	2.7256
DNMT3B	-1.2196417	-2.7662
SPHK1	-2.3902664	-1.88005
TPR	-1.6145558	-0.329
HPGDS	0.5276238	3.09765
TNF	-0.7064938	1.18235
CTSG	0.019013286	0.23855007
HNRNPH1	0.9375337	0.4619
SH3GL2	0.73638	2.3661
GCA	-0.017665189	0.5132
TMEM14A	1.2933186	2.38585
CHMP2A	0.6782259	-1.01035
HAAO	2.0316384	4.54175
SLC26A6	0.6209259	1.30035
LPCAT3	2.9273124	2.6825
MPHOSPH8	0.067004934	0.64540005
ZNF804A	-0.45221394	2.6233
EGLN1	-1.284652	-1.6448001
TLR1	1.0793811	3.88855
SEMA4D	-0.55912375	-1.4448
C2	1.7299262	4.7356
TMEM161A	1.0516487	2.1858
FOXJ2	-2.2588365	-1.79365
SON	-2.095323	-2.96275
LYZ	-0.3575302	0.60045
RRAGD	-0.31029165	0.2766
EXOSC2	-1.0914223	-2.2008
FGFR3	1.0519454	3.85325
PDIA6	2.4065711	4.43035
PEX13	-1.5060161	0.74905
PTPN13	1.4566451	0.69500005
ETV5	-1.3255526	-1.58005
RAB11B	1.2715614	3.59855
HLA-DQA1	1.8764288	4.8834
MED27	-0.14232162	0.022699982
DLX5	1.4254636	3.7747998
LCP2	-0.29980636	0.51725
CASS4	1.7706281	5.42305
TCEA1	0.10807243	3.73635
HADHB	2.0873578	4.7734003
SLC16A3	-1.2934783	-3.8583
MAOB	-0.061059996	1.9435501
RNF126	-0.5596137	-1.8977501
ALDH3A2	0.9037803	1.35385
HSF1	0.01774028	0.4914
RASIP1	-0.29910374	2.1936002
PYROXD1	-1.1493378	-1.3014
CD9	1.2493784	3.0419502
TLN1	1.0696292	3.8502002
OSTF1	2.4978437	2.4882
YWHAE	1.631581	-1.9844999
PRKRA	0.7835973	3.6998498
ZAP70	0.70025563	1.92915
OGN	0.66473395	2.3415
NAT10	-1.0622418	-3.00825
EPHA3	4.997694	4.40925
SNAP25	1.866244	4.03125
CHD7	-2.3098855	0.82350004
MTHFD2L	0.2677202	3.6718502
UBE2Z	-3.2319758	-7.86355
B4GALT1	0.4746265	0.35555
ALDH6A1	1.4173303	3.21305
LY86	0.5884237	-0.5256
PLXNB3	0.43871403	2.4907
CX3CL1	-0.9115894	0.52655
CIAPIN1	-0.6857989	-2.86945
CTSK	1.0790565	5.44995
CRADD	1.6890548	2.282
PTP4A3	1.5556762	3.61485
CACTIN	-1.6223063	-0.64945
ATP6AP2	2.7214463	2.2566
OSGIN1	0.30860662	1.36145
UNC119	0.9397378	0.2795
ABCA1	0.6803322	2.27035
SZT2	1.3296663	2.5559
STYXL1	2.150429	1.7093999
SLC2A3	1.3990346	2.1682
S100A12	-0.5494317	-0.77035
POLDIP3	-1.2761557	-3.2354002
GIGYF2	-0.27560213	-2.2476501
MAOA	2.3601754	4.2698
EGF	2.3584943	7.02455
PIH1D1	0.5188706	1.63685
PTPRK	1.035567	3.2838001
PIP5K1C	-1.0223622	-1.153
CNKSR1	0.52701986	3.9228501
CPEB1	0.4736007	1.72505
CNN2	0.6836158	0.9616
IDH3G	1.5707357	1.67295
RAD50	0.844642	3.07
BLMH	-1.8738145	-4.1942
ABCD2	1.1624804	3.9358
ANP32B	-0.45087242	-3.47435
TGFBI	0.5283951	-1.6711
WFS1	-0.3857476	-0.14340007
CHMP1A	-0.8240062	-1.7402999
ADAR	-0.31422174	-1.4388001
GLI3	-0.22467776	2.6169
POLRMT	0.6518527	1.0343
ASAH1	3.4203658	6.415
FTO	0.95415366	1.7492499
IFI27	0.5615818	2.43475
PHKG2	3.7399943	5.8462
FFAR3	1.681627	4.6126
IGFBP7	2.2329493	6.2841
UBE2D2	-1.6485951	-1.0314499
CLIP3	3.0161424	4.6921
POLR2F	-0.076141104	-1.3714
GPR37L1	1.4258723	4.13785
LMO7	1.076006	1.07675
MST1	1.1756209	2.12965
RPL6	-0.109855756	-2.74255
WDTC1	0.79452497	-0.98745
ZNF304	0.25365415	3.03475
GSTA3	1.5159032	5.3879004
TSC2	1.9977542	-0.2649
FAXDC2	1.5997056	4.00615
FGFR2	1.7247521	6.35085
TBX3	-1.6162425	-2.0422
NCOA2	-0.32965583	0.81155
FBXO11	0.07253075	3.31855
SPCS3	0.6391452	0.53760004
CSF2RA	0.7827665	2.44
ICMT	0.3197505	-0.79405004
CRIM1	0.10250229	2.7702
C5	2.8041515	5.78515
SLC8A2	1.0396255	4.74625
CD6	0.64755076	2.9373999
MCCC1	1.2077205	3.85435
MYB	1.0383896	2.2287002
MTCH1	-0.012061402	1.1719
FOXO3	-2.662541	-5.1662
SELPLG	0.9298665	2.13035
GPC5	0.4952414	3.3498
POU2F2	-0.08205855	0.11290002
NOX4	0.58955055	4.1820498
PTP4A1	-1.3125017	-1.6141999
MAPK13	2.1754677	1.781
CAPN2	0.25664663	-2.8068
PRKAR1A	0.33629143	0.25444996
BMP7	0.83353055	1.6208
CAPNS1	-0.3078997	-2.5275002
TTBK2	0.3248179	2.8562
FAP	2.130148	3.9807
PON2	1.0660414	1.26505
BCL10	-2.6736555	-3.49225
CLPTM1	-1.2821262	-3.0333
CCL16	0.7061865	3.1359
MRPL3	1.048531	-0.4518
SACS	-1.8112031	-5.14935
SC5D	1.4723729	-0.30275
F3	-0.7552251	-0.70484996
VCP	0.32550693	-2.8449998
ATP6AP1	0.4686501	0.75885
RABGGTB	-1.1990843	-0.39814997
RPS6	1.996238	1.0083001
TWIST1	1.4593879	4.2842
PUM2	-1.7271953	-2.7778
TYW1	-0.11308884	0.47505
LCMT2	-1.8333821	-1.58045
IL1RAPL1	-1.356071	-0.0084500015
MAP2K3	-2.2682016	-3.85785
ADPRH	0.9169043	3.5974
NRBF2	-1.6825061	-4.3403
HTATIP2	0.6964154	-0.46455
VCAM1	0.99179393	1.83945
NPR3	-0.0014459611	-0.5334
RBL1	-0.80738986	-1.11465
ISG15	1.0676708	2.8656
FCGR2B	2.3745308	4.1438
NDP	1.1759827	1.6854
TRIM22	1.0175495	3.15275
ACADL	0.99970925	2.6924
AOC3	0.8084891	4.2415
NFKBIL1	1.4894556	3.5387
CYLD	1.5883828	4.65525
DAGLA	1.3958994	4.275
KCNH2	1.85584	5.3807
PDE9A	0.44718176	3.8627
IL18	-0.17637646	-0.5344
MXRA8	1.1633719	0.6225
EYA4	0.22634356	-0.1057
RHOC	0.69799185	-0.055
DNAJC10	1.6392342	3.45295
SSBP2	1.4039409	8.0739
MMP1	2.2817764	2.6283002
ACVR1	0.8700595	3.69285
CXADR	-0.14478016	3.5984
ARID5B	-0.2138892	0.98265004
ATRX	0.77033544	2.1635501
OGDH	1.2852985	3.50845
GSTT2	0.023186073	-0.012499988
XRCC6	2.4391272	1.92245
CXCL2	-2.7624943	0.9448999
ZNF16	-1.8092816	-1.7026
PTGES3	-0.822596	-4.97775
SIGMAR1	0.1555349	-1.6689501
TAF11	0.1939778	0.3781
MRPL12	-1.9291724	-5.48685
BTG3	0.11874375	4.76265
SMYD2	-0.27693173	2.32095
MEPCE	-2.6328373	-4.5057497
STRADA	0.7663593	1.25595
CEBPB	-4.9390926	-7.3379498
PPIH	0.42885655	-1.5827501
SULT1A1	2.1067467	1.6768999
PSMC5	1.9885018	0.78685
RAB5C	-0.110580906	-1.2212
FAF2	0.01662837	-1.4037
NFIX	2.5664148	5.7500496
RAC2	0.15163341	-0.83965
GNS	2.2220168	4.7736998
TBPL1	-0.15638378	-2.42835
ZBTB38	-1.0775452	-0.433
DLG1	-0.9735712	-0.82735
PCSK1	0.94449735	5.4268
PSMD1	1.8165314	0.56585
DYRK1B	1.6604416	3.3877997
IFNAR2	0.4145673	1.8692999
ADGRB1	0.57255113	3.8697999
TAF1B	1.0596571	2.6222
ZBED4	-1.6124616	-1.10885
CDT1	-0.50038385	-2.5771499
DGKQ	1.8007429	4.2751
CLEC7A	2.0328615	3.72925
BCKDHB	3.0058978	5.9455
RNF14	1.9043672	2.321
HDAC6	2.2277696	0.63699996
DDAH1	0.87404156	1.2589
P2RX5	-1.038152	0.06915
RGS14	2.10125	5.3156
HAX1	1.6758676	1.2938001
EDN1	0.72368896	5.66695
ANXA6	0.7458506	-0.031499982
KCNMB4	1.4375674	7.4543505
FLT3	-0.70048714	-1.4932001
FAAH	1.1985584	3.1686502
CD36	0.41437963	2.3725
RALBP1	0.39762148	-0.3652
CFB	1.8469994	4.8429003
NCOA3	-0.7590858	0.13620001
SYK	3.2800422	8.1822
PDGFC	-0.29774573	-0.2358
KCTD7	-0.57437503	-1.78435
HSPH1	-2.1612294	-5.0952
PRNP	-1.9739997	-4.3677998
SEMA6A	-0.115054354	1.10385
CCNC	1.2254021	-0.1459
RAB27B	0.10303918	-0.1294
CBR1	-1.2040246	-3.8478003
PLCE1	0.5713224	1.4823
CD2AP	0.81212926	3.85915
RPL23A	0.332759	-1.48825
JMJD6	-10.0	-10.0
CARD10	-0.9849905	-0.30525
LCP1	1.4123484	0.5944
GGT1	0.22491302	0.73300004
CRLF3	-0.5424797	-3.2761002
MYH10	0.29225487	1.3509
ITSN1	0.85869473	3.3200002
ENPP4	0.7531711	4.1908
DYRK1A	-4.2625766	-4.7703
GPR39	0.52124804	1.9335
ALDOB	1.4118661	2.19905
NR4A1	-0.30122158	1.61815
RBL2	0.2094648	2.20555
KLF6	-1.488951	1.15335
SLPI	-0.7543411	-0.15870002
HCK	0.6669247	1.40795
EHF	-0.84707963	2.2646499
TLR7	0.48921558	2.516
NUP62	-5.5906215	-10.0
PSMB10	2.5931551	3.70175
CD44	3.4498653	3.6123
PDHA1	0.16193952	-3.29435
SST	1.4633545	3.2984
SLC25A17	2.3730667	3.4442499
KDM8	1.708613	5.14905
NR1H3	0.75664175	0.986
C5AR1	1.0557984	3.1360998
PTPRM	-0.28745237	-1.8899
CTNNB1	0.6134468	0.90744996
SOX17	0.7368635	4.49095
ANG	1.2299291	0.7251
TMEM33	0.8175937	-2.5170999
SLC22A18	1.0571516	0.29185
NMD3	-1.3833761	-4.1735
POFUT2	0.22593296	2.8733501
LRRC8D	0.03788437	2.02965
JUP	1.5736196	0.75874996
LLGL2	-0.35818285	0.20784998
UNC13B	0.098959014	0.38295
TRIM38	-0.50113165	0.029849999
ELOVL6	-0.16544694	3.0743
ADAM9	0.8110644	4.1991
GSDMB	1.4721684	3.27405
MEOX2	2.0785248	3.45235
SERPINE1	1.9209436	5.7247496
RNF122	1.6356956	4.4914503
NPRL3	0.90206444	4.4683
EDA	0.7752807	1.61975
MAPRE3	2.3574116	4.9640503
ATP6V1E1	3.436464	3.42695
EEF1A2	-0.2723017	-2.2993999
TUBD1	0.6902623	0.43975002
NEUROD2	0.41086295	4.52125
MID1	-0.68509626	-1.87275
SOGA1	0.9116717	3.73405
ECHS1	-0.21877187	-0.17965001
LMNA	-1.8483827	-2.46785
PCCB	2.15858	2.57745
STUB1	-0.6315015	-3.6921499
IL10RB	2.1204548	4.4283
CD14	0.20633698	1.0476999
PRRC1	-0.5941227	-1.0705
PDE3A	1.0768492	4.32515
NAA16	-2.0135233	-2.48695
ARL6IP5	0.6792106	-1.3564
MAGT1	3.0123608	5.823
CANX	1.8717012	3.4514499
GPLD1	1.4832479	4.9458
PLEKHA1	0.32294056	3.56285
LANCL2	0.23269203	-1.5329
ABCC2	-0.8258802	-0.1546
VTN	1.4286824	4.8094997
APOM	1.4584103	4.62325
TAF9B	2.2173376	2.1188998
SULF1	1.8711877	5.3417
DNM1	2.485158	2.4955
FLOT2	0.526903	0.57045
ECE1	1.053743	1.58875
MTR	1.7613173	2.862
PPM1B	-0.32367718	1.32525
FGF9	1.922877	2.89275
G3BP1	-0.6006141	-3.23635
GOLPH3	-1.076935	-5.15595
ATG14	-2.180428	-4.4414997
PTTG1IP	0.6089866	3.40765
PAK1	0.5144715	0.061100006
ARSB	1.6859584	5.16875
IRS1	-0.44286016	2.12855
GSTM3	0.4348049	2.39575
SUPV3L1	-0.18673806	3.49515
RORA	1.1326473	2.14505
MTDH	-1.160019	-1.375
SLC16A1	1.2112212	1.66675
EFNB2	-0.61885303	-0.57365
NACC2	-0.580904	-2.5365999
GSK3A	1.0490655	6.5345
GSTK1	1.9768012	0.8607
WNT4	1.0439919	5.20545
FZD7	-0.4946523	-5.38755
PTMA	0.41856074	0.3219
PSMB8	1.5400021	-2.4545
WASF2	-1.1618236	0.62825006
TEK	2.3844793	6.8461
MOCS3	-0.5780003	-1.96455
AIM2	-1.4464666	0.44090003
KHSRP	-1.5137571	-4.21385
SAR1A	-1.2461381	-4.8876
PLAT	0.7227204	0.56079996
TAF7	-0.18722029	0.73195004
C1QBP	1.4275973	1.69965
RFX3	1.392359	6.01215
OPTN	0.56561446	5.7254496
GSTA1	1.6032712	3.1268501
VPS35	0.5000779	-0.16325
NDRG4	0.82353705	0.5358
TATDN2	-0.18281889	-0.80050004
WIPI1	1.5066078	2.3791
PLAUR	-2.2109873	-1.57615
LIFR	0.8719727	1.61205
VPS4B	0.03168443	-1.3696499
IPO7	-1.0083033	-3.59265
SIAH1	-1.9401535	-0.82949996
FGFBP1	-0.7398623	-0.7119
ERLIN2	2.50039	2.3729
PDCD2	1.5567796	2.255
RBP1	0.9187803	3.4222
PAXBP1	-2.7922277	2.95805
IFNGR2	-0.60706735	0.03365
MRPL23	-0.060938627	-3.279
ARID1A	-2.5232227	-2.43695
CAD	0.35317633	-0.69879997
FGD2	1.1366535	4.8658
UBE2L3	1.3715107	0.96955
PSMB2	1.5370948	-0.18475
CHPF2	0.16993862	-0.8056
ADGRE5	-2.060914	-2.8941998
CHP2	1.3812015	2.3642
CRHBP	-0.032390565	2.9357
PRKAB1	0.37718946	-2.1096
SFPQ	-1.4859812	-4.5047
PFKL	1.8113781	2.74875
UBE2M	1.3081096	-0.99655
SOD3	-0.24171507	0.864
BCL2L2	-0.83095384	0.18805
METTL5	0.664538	1.5308
NCSTN	0.7722614	4.32355
